time,raw_value,voltage_calc,voltage_default
0.433,32822.67645760138,0.0083,32788.7199
0.434,32824.71444936175,0.0087,32790.7966
0.435,32822.67645760138,0.0083,32788.7199
0.436,32819.619469960824,0.0079,32785.6048
0.437,32821.657461721195,0.0082,32787.6816
0.438,32823.69545348157,0.0085,32789.7583
0.439,32822.67645760138,0.0083,32788.7199
0.440,32821.657461721195,0.0082,32787.6816
0.441,32824.71444936175,0.0087,32790.7966
0.442,32822.67645760138,0.0083,32788.7199
0.443,32822.67645760138,0.0083,32788.7199
0.444,32820.63846584101,0.0080,32786.6432
0.445,32822.67645760138,0.0083,32788.7199
0.446,32820.63846584101,0.0080,32786.6432
0.447,32823.69545348157,0.0085,32789.7583
0.448,32821.657461721195,0.0082,32787.6816
0.449,32823.69545348157,0.0085,32789.7583
0.450,32822.67645760138,0.0083,32788.7199
0.451,32822.67645760138,0.0083,32788.7199
0.452,32822.67645760138,0.0083,32788.7199
0.453,32821.657461721195,0.0082,32787.6816
0.454,32823.69545348157,0.0085,32789.7583
0.455,32822.67645760138,0.0083,32788.7199
0.456,32820.63846584101,0.0080,32786.6432
0.457,32821.657461721195,0.0082,32787.6816
0.458,32824.71444936175,0.0087,32790.7966
0.459,32823.69545348157,0.0085,32789.7583
0.460,32822.67645760138,0.0083,32788.7199
0.461,32823.69545348157,0.0085,32789.7583
0.462,32821.657461721195,0.0082,32787.6816
0.463,32820.63846584101,0.0080,32786.6432
0.464,32822.67645760138,0.0083,32788.7199
0.465,32821.657461721195,0.0082,32787.6816
0.466,32820.63846584101,0.0080,32786.6432
0.467,32821.657461721195,0.0082,32787.6816
0.468,32821.657461721195,0.0082,32787.6816
0.469,32822.67645760138,0.0083,32788.7199
0.470,32819.619469960824,0.0079,32785.6048
0.471,32822.67645760138,0.0083,32788.7199
0.472,32822.67645760138,0.0083,32788.7199
0.473,32824.71444936175,0.0087,32790.7966
0.474,32823.69545348157,0.0085,32789.7583
0.475,32823.69545348157,0.0085,32789.7583
0.476,32820.63846584101,0.0080,32786.6432
0.477,32821.657461721195,0.0082,32787.6816
0.478,32820.63846584101,0.0080,32786.6432
0.479,32824.71444936175,0.0087,32790.7966
0.480,32825.73344524194,0.0088,32791.8350
