time,CH0_raw,CH1_raw,CH2_raw,CH3_raw,CH4_raw,CH5_raw
0.214,31738.464841084515,31793.490618614505,31802.661581536173,32790.06858943546,31397.101221222532,31858.70635494635
0.215,31598.862405499167,31689.553038835635,31710.95195231952,32712.6249025414,31354.30339425476,31821.0035073795
0.216,31821.0035073795,31789.414635093766,31727.25588640248,32695.30197257825,31210.624975148672,31625.356298383977
0.217,31382.83527889994,31530.58968152677,31549.950603250283,32554.68054111272,31190.24505754497,31657.964166549897
0.218,31250.36581447589,31366.53134481698,31409.32917178475,32426.287060209404,31143.37124705646,31646.75521186786
0.219,31187.188069904416,31303.353600245508,31356.34138601513,32383.489233241635,31161.713172899792,31687.515047075263
0.22,31349.208414853834,31389.968250061236,31403.215196503643,32396.73617968404,31115.858358291465,31613.128347821756
0.221,31367.550340697166,31441.937039950673,31463.335953434558,32459.91392425551,31157.63718937905,31638.603244826383
0.222,31489.829846319368,31542.81763208899,31564.216545572875,32551.623553472164,31193.302045185526,31654.907178909343
0.223,31441.937039950673,31546.89361560973,31602.938389019906,32607.66832688234,31274.821715600327,31739.4838369647
0.224,31446.013023471412,31561.15955793232,31635.546257185826,32646.390170329374,31358.3793777755,31842.402420863385
0.225,31876.02928490949,31818.965515619133,31787.376643333395,32753.3847377488,31290.106653803105,31682.42006767434
0.226,31695.667014116745,31799.604593895616,31821.0035073795,32792.10658119583,31359.398373655684,31791.452626854134
0.227,31795.528610374877,31877.048280789677,31924.941087158375,32907.25311565674,31440.918044070488,31876.02928490949
0.228,31958.56795120448,32007.47975345336,32037.030633978728,33013.22868719598,31488.810850439182,31904.561169554672
0.229,32052.315572181502,32086.961432107793,32091.037415628532,33063.15948532505,31485.75386279863,31878.067276669863
0.23,31728.274882282665,31901.50418191412,31986.080839969476,33006.09571603469,31582.558471416207,32040.08762161928
0.231,31900.485186033933,31933.093054199853,31951.434980043185,32959.221905546176,31494.924825720293,31939.207029480964
0.232,31688.53404295545,31807.756560937098,31854.630371425606,32868.53127220971,31501.038801001403,31980.98586056855
0.233,31739.4838369647,31797.566602135244,31824.060495020058,32824.71444936175,31448.051015231784,31926.979078918743
0.234,31915.770124236707,31903.54217367449,31860.744346706717,32833.88541228342,31350.22741073402,31773.110701010806
0.235,31662.04015007064,31763.93973808914,31765.97772984951,32756.441725389355,31316.600546687914,31764.958733969324
0.236,31730.312874043033,31761.90174632877,31741.52182872507,32725.871848983807,31226.928909231632,31648.793203628233
0.237,31590.710438457685,31654.907178909343,31625.356298383977,32611.744310403083,31128.086308853686,31558.102570291765
0.238,31571.34951673417,31612.10935194157,31573.38750849454,32542.4525905505,31027.205716715365,31447.032019351598
0.239,31440.918044070488,31544.85562384936,31562.178553812504,32543.471586430685,31055.737601360546,31491.86783807974
0.24,31281.954686761623,31431.74708114882,31502.05779688159,32511.88271414495,31118.91534593202,31591.72943433787
