time,CH0_raw
0.866,32780.8976265138
0.867,32779.87863063361
0.868,32780.8976265138
0.869,32778.859634753426
0.87,32779.87863063361
0.871,32778.859634753426
0.872,32781.91662239398
0.873,32782.93561827417
0.874,32778.859634753426
0.875,32780.8976265138
0.876,32781.91662239398
0.877,32780.8976265138
0.878,32782.93561827417
0.879,32779.87863063361
0.88,32781.91662239398
0.881,32781.91662239398
0.882,32781.91662239398
0.883,32781.91662239398
0.884,32780.8976265138
0.885,32778.859634753426
0.886,32778.859634753426
0.887,32781.91662239398
0.888,32779.87863063361
0.889,32781.91662239398
0.89,32780.8976265138
0.891,32781.91662239398
0.892,32781.91662239398
0.893,32779.87863063361
0.894,32779.87863063361
0.895,32780.8976265138
0.896,32778.859634753426
0.897,32779.87863063361
0.898,32778.859634753426
0.899,32780.8976265138
0.9,32779.87863063361
0.901,32779.87863063361
0.902,32779.87863063361
0.903,32778.859634753426
0.904,32779.87863063361
0.905,32779.87863063361
0.906,32779.87863063361
0.907,32781.91662239398
0.908,32779.87863063361
0.909,32777.84063887324
0.91,32778.859634753426
0.911,32779.87863063361
0.912,32779.87863063361
0.913,32779.87863063361
0.914,32781.91662239398
0.915,32779.87863063361
0.916,32778.859634753426
0.917,32778.859634753426
0.918,32780.8976265138
0.919,32779.87863063361
0.92,32778.859634753426
0.921,32777.84063887324
0.922,32778.859634753426
0.923,32778.859634753426
0.924,32779.87863063361
0.925,32779.87863063361
0.926,32779.87863063361
0.927,32779.87863063361
0.928,32779.87863063361
0.929,32780.8976265138
0.93,32780.8976265138
0.931,32778.859634753426
0.932,32777.84063887324
0.933,32778.859634753426
0.934,32780.8976265138
0.935,32780.8976265138
0.936,32779.87863063361
0.937,32779.87863063361
0.938,32779.87863063361
0.939,32779.87863063361
0.94,32777.84063887324
0.941,32779.87863063361
0.942,32778.859634753426
0.943,32778.859634753426
0.944,32778.859634753426
0.945,32778.859634753426
0.946,32777.84063887324
0.947,32778.859634753426
0.948,32779.87863063361
0.949,32779.87863063361
0.95,32779.87863063361
0.951,32779.87863063361
0.952,32780.8976265138
0.953,32780.8976265138
0.954,32780.8976265138
0.955,32779.87863063361
0.956,32779.87863063361
0.957,32782.93561827417
0.958,32781.91662239398
0.959,32778.859634753426
0.96,32779.87863063361
0.961,32780.8976265138
0.962,32780.8976265138
0.963,32781.91662239398
0.964,32781.91662239398
0.965,32777.84063887324
0.966,32777.84063887324
0.967,32781.91662239398
0.968,32781.91662239398
0.969,32781.91662239398
0.97,32782.93561827417
0.971,32780.8976265138
0.972,32779.87863063361
0.973,32780.8976265138
0.974,32781.91662239398
0.975,32782.93561827417
0.976,32780.8976265138
0.977,32779.87863063361
0.978,32780.8976265138
0.979,32779.87863063361
0.98,32781.91662239398
0.981,32781.91662239398
0.982,32779.87863063361
0.983,32782.93561827417
0.984,32782.93561827417
0.985,32778.859634753426
0.986,32780.8976265138
0.987,32783.95461415435
0.988,32780.8976265138
0.989,32780.8976265138
0.99,32779.87863063361
0.991,32778.859634753426
0.992,32780.8976265138
0.993,32781.91662239398
0.994,32778.859634753426
0.995,32780.8976265138
0.996,32778.859634753426
0.997,32779.87863063361
0.998,32781.91662239398
0.999,32778.859634753426
1.0,32781.91662239398
1.001,32780.8976265138
1.002,32782.93561827417
1.003,32784.97361003453
1.004,32781.91662239398
1.005,32781.91662239398
1.006,32780.8976265138
1.007,32778.859634753426
1.008,32779.87863063361
1.009,32777.84063887324
1.01,32779.87863063361
1.011,32782.93561827417
1.012,32779.87863063361
1.013,32779.87863063361
1.014,32780.8976265138
1.015,32779.87863063361
1.016,32780.8976265138
1.017,32782.93561827417
1.018,32781.91662239398
1.019,32780.8976265138
1.02,32781.91662239398
1.021,32779.87863063361
1.022,32779.87863063361
1.023,32782.93561827417
1.024,32781.91662239398
1.025,32778.859634753426
1.026,32777.84063887324
1.027,32782.93561827417
1.028,32781.91662239398
1.029,32780.8976265138
1.03,32778.859634753426
1.031,32778.859634753426
1.032,32780.8976265138
1.033,32782.93561827417
1.034,32779.87863063361
1.035,32782.93561827417
1.036,32779.87863063361
1.037,32778.859634753426
1.038,32779.87863063361
1.039,32779.87863063361
1.04,32779.87863063361
1.041,32780.8976265138
1.042,32778.859634753426
1.043,32778.859634753426
1.044,32778.859634753426
1.045,32781.91662239398
1.046,32780.8976265138
1.047,32779.87863063361
1.048,32779.87863063361
1.049,32779.87863063361
1.05,32781.91662239398
1.051,32780.8976265138
1.052,32777.84063887324
1.053,32778.859634753426
1.054,32779.87863063361
1.055,32780.8976265138
1.056,32777.84063887324
1.057,32780.8976265138
1.058,32780.8976265138
1.059,32779.87863063361
1.06,32781.91662239398
1.061,32780.8976265138
1.062,32779.87863063361
1.063,32778.859634753426
1.064,32777.84063887324
1.065,32780.8976265138
1.066,32780.8976265138
1.067,32781.91662239398
1.068,32779.87863063361
1.069,32782.93561827417
1.07,32779.87863063361
1.071,32781.91662239398
1.072,32780.8976265138
1.073,32780.8976265138
1.074,32780.8976265138
1.075,32780.8976265138
1.076,32781.91662239398
1.077,32782.93561827417
1.078,32779.87863063361
1.079,32779.87863063361
1.08,32777.84063887324
1.081,32775.80264711287
1.082,32778.859634753426
1.083,32782.93561827417
1.084,32781.91662239398
1.085,32778.859634753426
1.086,32778.859634753426
1.087,32783.95461415435
1.088,32783.95461415435
1.089,32784.97361003453
1.09,32778.859634753426
1.091,32773.7646553525
1.092,32774.78365123268
1.093,32781.91662239398
1.094,32788.03059767509
1.095,32787.011601794904
1.096,32783.95461415435
1.097,32776.821642993054
1.098,32772.74565947231
1.099,32775.80264711287
1.1,32784.97361003453
1.101,32790.06858943546
1.102,32785.99260591472
1.103,32776.821642993054
1.104,32769.68867183176
1.105,32771.72666359213
1.106,32779.87863063361
1.107,32788.03059767509
1.108,32790.06858943546
1.109,32779.87863063361
1.11,32769.68867183176
1.111,32767.65068007139
1.112,32777.84063887324
1.113,32787.011601794904
1.114,32792.10658119583
1.115,32787.011601794904
1.116,32776.821642993054
