time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.3810,31676,31559,31571,33587,33460,33451
0.3820,31672,31556,31561,33518,33393,33393
0.3830,31650,31538,31561,33460,33336,33340
0.3840,31651,31540,31555,33418,33304,33317
0.3850,31663,31547,31575,33397,33286,33314
0.3860,31667,31548,31585,33395,33287,33326
0.3870,31682,31564,31598,33436,33332,33386
0.3880,31700,31580,31623,33490,33382,33443
0.3890,31717,31596,31635,33548,33447,33517
0.3900,31746,31620,31667,33632,33530,33615
0.3910,31740,31623,31667,33715,33609,33698
0.3920,31756,31633,31673,33781,33669,33748
0.3930,31768,31645,31677,33836,33726,33812
0.3940,31760,31642,31675,33879,33756,33815
0.3950,31761,31640,31657,33906,33780,33839
0.3960,31750,31631,31652,33898,33773,33816
0.3970,31735,31620,31630,33860,33727,33751
0.3980,31719,31605,31619,33804,33677,33696
0.3990,31708,31592,31602,33753,33624,33630
0.4000,31682,31570,31576,33662,33528,33529
0.4010,31682,31569,31571,33590,33457,33452
0.4020,31658,31550,31568,33513,33394,33401
0.4030,31653,31539,31558,33465,33339,33336
0.4040,31654,31537,31560,33416,33303,33322
0.4050,31655,31541,31563,33394,33282,33303
0.4060,31663,31549,31578,33400,33289,33326
0.4070,31677,31564,31597,33438,33335,33397
0.4080,31698,31576,31624,33490,33385,33443
0.4090,31724,31600,31640,33541,33441,33513
0.4100,31736,31615,31661,33639,33535,33613
0.4110,31751,31628,31669,33701,33598,33696
0.4120,31758,31635,31670,33779,33663,33742
0.4130,31765,31642,31681,33845,33733,33806
0.4140,31769,31648,31673,33877,33759,33830
0.4150,31757,31638,31667,33890,33770,33834
0.4160,31751,31630,31643,33897,33768,33809
0.4170,31750,31632,31642,33858,33727,33747
0.4180,31716,31599,31609,33813,33679,33695
0.4190,31708,31591,31599,33750,33620,33626
0.4200,31688,31572,31585,33667,33534,33529
0.4210,31671,31553,31561,33571,33446,33445
0.4220,31660,31544,31559,33522,33397,33404
0.4230,31649,31537,31549,33458,33330,33332
0.4240,31650,31536,31561,33414,33298,33315
0.4250,31665,31545,31574,33391,33280,33309
0.4260,31665,31550,31588,33405,33294,33332
0.4270,31685,31567,31601,33436,33335,33393
0.4280,31708,31589,31624,33486,33382,33451
0.4290,31716,31598,31645,33548,33444,33511
0.4300,31750,31624,31662,33629,33530,33616
0.4310,31746,31627,31669,33713,33604,33688
0.4320,31755,31631,31667,33780,33666,33742
0.4330,31774,31654,31690,33834,33723,33807
0.4340,31761,31646,31675,33887,33764,33830
0.4350,31755,31636,31654,33901,33779,33831
0.4360,31748,31631,31655,33892,33767,33814
0.4370,31744,31623,31635,33845,33711,33746
0.4380,31717,31600,31611,33807,33676,33695
0.4390,31698,31582,31590,33747,33616,33626
0.4400,31687,31571,31585,33661,33532,33526
0.4410,31680,31563,31562,33577,33454,33455
0.4420,31655,31545,31565,33522,33401,33400
0.4430,31652,31536,31551,33459,33338,33336
0.4440,31656,31539,31563,33407,33293,33314
0.4450,31655,31541,31578,33396,33281,33304
0.4460,31667,31548,31579,33398,33291,33328
0.4470,31681,31563,31602,33434,33332,33391
0.4480,31699,31576,31621,33487,33383,33444
0.4490,31714,31594,31636,33548,33444,33516
0.4500,31737,31612,31657,33629,33529,33618
0.4510,31749,31625,31668,33709,33601,33692
0.4520,31758,31637,31675,33779,33664,33746
0.4530,31766,31645,31679,33847,33731,33805
0.4540,31772,31648,31682,33881,33760,33824
0.4550,31761,31638,31660,33896,33774,33835
0.4560,31745,31631,31648,33898,33770,33812
0.4570,31744,31623,31633,33856,33724,33754
0.4580,31717,31604,31617,33793,33666,33690
0.4590,31700,31582,31596,33752,33619,33622
0.4600,31700,31582,31588,33665,33531,33533
0.4610,31667,31553,31557,33587,33455,33451
0.4620,31652,31544,31561,33517,33393,33393
0.4630,31655,31541,31556,33457,33334,33342
0.4640,31651,31536,31564,33407,33293,33306
0.4650,31657,31541,31572,33394,33280,33301
0.4660,31665,31547,31579,33394,33284,33317
0.4670,31680,31565,31608,33436,33332,33391
0.4680,31714,31589,31628,33493,33388,33443
0.4690,31717,31597,31645,33555,33449,33523
0.4700,31741,31615,31660,33632,33529,33612
0.4710,31754,31629,31672,33708,33603,33694
0.4720,31752,31635,31672,33773,33659,33740
0.4730,31765,31643,31681,33835,33723,33797
0.4740,31775,31652,31684,33878,33758,33824
0.4750,31765,31639,31662,33897,33774,33832
0.4760,31758,31638,31658,33893,33768,33819
0.4770,31734,31616,31633,33869,33733,33757
0.4780,31726,31607,31618,33809,33681,33692
0.4790,31705,31585,31599,33744,33614,33624
0.4800,31686,31571,31580,33659,33531,33530
0.4810,31675,31559,31566,33579,33454,33450
0.4820,31655,31541,31558,33513,33391,33396
0.4830,31652,31537,31560,33456,33331,33331
0.4840,31652,31535,31557,33410,33295,33314
0.4850,31656,31544,31570,33393,33284,33315
0.4860,31670,31557,31585,33396,33287,33321
0.4870,31690,31573,31609,33437,33333,33389
0.4880,31705,31584,31625,33484,33379,33442
0.4890,31714,31594,31634,33554,33451,33518
0.4900,31732,31613,31658,33629,33525,33612
0.4910,31749,31627,31668,33708,33600,33690
0.4920,31759,31639,31677,33784,33667,33746
0.4930,31766,31646,31681,33832,33721,33803
0.4940,31770,31645,31674,33884,33759,33826
0.4950,31771,31647,31668,33902,33779,33831
0.4960,31749,31635,31658,33904,33778,33816
0.4970,31745,31623,31644,33854,33724,33753
0.4980,31732,31609,31619,33805,33677,33695
0.4990,31702,31585,31595,33738,33610,33624
0.5000,31685,31571,31581,33659,33527,33527
0.5010,31670,31556,31572,33581,33453,33443
0.5020,31663,31544,31560,33512,33389,33391
0.5030,31669,31554,31574,33448,33326,33331
0.5040,31647,31532,31556,33414,33298,33314
0.5050,31656,31540,31579,33392,33279,33304
0.5060,31667,31545,31572,33395,33287,33326
0.5070,31679,31566,31608,33431,33327,33382
0.5080,31696,31575,31615,33485,33380,33441
0.5090,31712,31591,31641,33542,33440,33517
0.5100,31733,31613,31650,33630,33526,33616
0.5110,31753,31631,31672,33715,33606,33693
0.5120,31762,31645,31682,33786,33673,33751
0.5130,31774,31651,31686,33836,33726,33799
0.5140,31770,31650,31675,33875,33757,33831
0.5150,31759,31639,31667,33895,33773,33830
0.5160,31759,31636,31655,33902,33774,33812
0.5170,31749,31626,31644,33852,33724,33753
0.5180,31714,31598,31616,33808,33676,33693
0.5190,31706,31586,31599,33745,33615,33624
0.5200,31679,31570,31576,33677,33538,33535
0.5210,31664,31549,31561,33588,33463,33454
0.5220,31661,31548,31567,33511,33396,33395
0.5230,31646,31535,31546,33453,33332,33334
0.5240,31647,31533,31560,33422,33305,33317
0.5250,31657,31539,31571,33395,33282,33302
0.5260,31669,31550,31577,33394,33289,33324
0.5270,31680,31562,31601,33436,33332,33393
0.5280,31692,31574,31617,33489,33383,33449
0.5290,31715,31592,31642,33551,33447,33524
0.5300,31745,31619,31655,33635,33530,33613
0.5310,31740,31621,31664,33713,33603,33687
0.5320,31755,31636,31675,33782,33666,33744
