time,CH0_hat1,CH1_hat1,CH2_hat1,CH3_hat1,CH4_hat1,CH5_hat1,CH0_hat2,CH1_hat2,CH2_hat2,CH3_hat2,CH4_hat2,CH5_hat2
0.2420,31752,31880,31895,32880,31563,32055,31450,31642,31712,32748,31582,32101
0.2430,31970,31992,31965,32928,31526,31980,31654,31779,31876,32912,31719,32216
0.2440,31978,32041,32040,32996,31561,32005,31897,31998,32109,33147,31881,32348
0.2450,31974,32061,32097,33064,31620,32063,31984,32141,32297,33342,32113,32598
0.2460,31934,32046,32106,33093,31691,32153,32254,32351,32491,33534,32265,32735
0.2470,32011,32095,32151,33133,31740,32204,32568,32637,32760,33772,32410,32848
0.2480,32140,32191,32232,33207,31765,32214,32780,32969,33254,34276,32886,33338
0.2490,32256,32335,32416,33387,31896,32329,33264,33429,33797,34832,33395,33841
0.2500,32431,32489,32572,33536,31995,32404,33634,33713,33958,34999,33573,34008
0.2510,32353,32462,32551,33542,32070,32508,33597,33703,33851,34918,33589,34056
0.2520,32325,32423,32492,33498,32088,32554,33511,33626,33727,34795,33540,34041
0.2530,32338,32411,32447,33437,32066,32545,33352,33467,33519,34585,33421,33958
0.2540,32278,32356,32378,33368,32036,32527,33240,33305,33275,34334,33207,33739
0.2550,32291,32338,32325,33305,31957,32438,32993,33092,33055,34108,33012,33557
0.2560,32085,32202,32223,33217,31953,32467,32827,32910,32855,33899,32817,33356
0.2570,31966,32082,32116,33119,31935,32479,32726,32783,32706,33732,32613,33128
0.2580,32296,32244,32165,33119,31768,32232,32291,32359,32176,33219,32187,32726
0.2590,32290,32259,32115,33044,31603,32026,31791,31856,31602,32656,31681,32239
0.2600,31982,32071,31975,32926,31535,31989,31500,31611,31458,32483,31484,32038
0.2610,31921,31998,31954,32913,31505,31960,31467,31595,31569,32580,31517,32048
0.2620,31956,32017,31993,32954,31494,31935,31460,31601,31641,32671,31596,32120
0.2630,31947,32023,32017,32982,31517,31959,31725,31806,31860,32872,31692,32177
0.2640,31926,32021,32048,33024,31568,32016,31871,31995,32108,33122,31893,32365
0.2650,31989,32067,32099,33081,31611,32054,32002,32149,32303,33333,32108,32589
0.2660,31911,32038,32106,33101,31701,32169,32228,32339,32480,33517,32260,32733
0.2670,32007,32091,32148,33142,31746,32215,32321,32477,32657,33714,32491,32983
0.2680,31987,32094,32168,33169,31815,32299,32707,32872,33164,34203,32922,33409
0.2690,32072,32182,32297,33297,31941,32425,33194,33356,33717,34744,33424,33901
0.2700,32316,32372,32473,33446,32033,32490,33441,33560,33828,34884,33630,34118
0.2710,32301,32390,32472,33457,32096,32559,33597,33656,33781,34828,33593,34082
0.2720,32208,32320,32396,33404,32120,32618,33595,33659,33714,34754,33518,34004
0.2730,32188,32283,32340,33345,32118,32639,33468,33542,33556,34606,33380,33871
0.2740,32390,32385,32359,33326,32006,32485,33313,33379,33340,34378,33177,33678
0.2750,32313,32361,32328,33286,31949,32423,33233,33266,33177,34194,32940,33417
0.2760,32176,32268,32258,33230,31926,32409,32979,33068,32995,34013,32765,33243
0.2770,32044,32153,32169,33159,31914,32427,32860,32920,32838,33852,32566,33034
0.2780,32162,32184,32149,33118,31810,32299,32434,32491,32302,33346,32141,32626
0.2790,32047,32088,32012,32973,31686,32173,31975,32019,31744,32780,31628,32128
0.2800,32043,32050,31931,32879,31528,31993,31535,31689,31561,32599,31474,32005
0.2810,31836,31938,31895,32858,31527,32006,31623,31725,31691,32702,31466,31956
0.2820,31796,31891,31896,32874,31539,32023,31580,31725,31767,32801,31572,32056
0.2830,31714,31834,31875,32871,31595,32099,31676,31821,31915,32952,31716,32202
0.2840,31810,31888,31920,32903,31615,32107,31784,31944,32095,33142,31932,32428
0.2850,31750,31871,31938,32930,31696,32207,32103,32194,32324,33361,32077,32543
0.2860,32001,32023,32045,33015,31688,32164,32276,32392,32529,33555,32250,32713
0.2870,32100,32133,32139,33101,31705,32152,32436,32567,32728,33766,32463,32930
0.2880,32120,32190,32218,33181,31755,32194,32781,32946,33231,34259,32899,33364
0.2890,32284,32348,32417,33381,31870,32285,33155,33351,33739,34782,33438,33914
0.2900,32207,32356,32497,33496,32067,32515,33480,33588,33856,34917,33616,34100
0.2910,32340,32414,32499,33498,32093,32550,33541,33630,33774,34835,33609,34112
0.2920,32408,32454,32489,33472,32060,32517,33519,33602,33680,34732,33546,34058
