time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.162,32093.075407388904,31985.06184408929,32102.246370310568,34549.0984491314,34399.187400714996,34641.900526722515
0.163,32169.50009840278,32041.106617499467,32121.60729203408,34651.07875417658,34472.61322034752,34586.83116199812
0.164,32195.993991287593,32058.429547462612,32105.303357951125,34636.80151147026,34471.593417297074,34523.60337287011
0.165,32190.899011886664,32051.296576301316,32078.80946506631,34536.860812525985,34372.67252140325,34372.67252140325
0.166,32159.31013960093,32024.802683416507,32032.95465045799,34366.55370310054,34204.40501807871,34150.355456404766
0.167,32119.569300273717,31984.042848209105,31977.928872927994,34155.45447165702,34011.66224154333,33947.414649364866
0.168,32068.619506264462,31939.207029480964,31929.017070679114,33971.88992257571,33833.19670771427,33766.90950943491
0.169,32023.78368753632,31899.466190153747,31888.257235471712,33773.02832773762,33636.37471897708,33553.77067189049
0.17,31972.83389352707,31842.402420863385,31829.155474420983,33405.899229574985,33230.49310489729,33023.473085655576
0.171,31876.02928490949,31720.122915241183,31636.56525306601,32893.95809824821,32735.888625428182,32454.4229835035
0.172,31745.59781224581,31614.14734370194,31529.570685646584,32543.145848892804,32453.403180453046,32280.03666187625
0.173,31670.192117112118,31566.254537333247,31529.570685646584,32446.264559099887,32388.135785224134,32354.482284559228
0.174,31645.736215987676,31545.874619729544,31547.912611489915,32472.779438411628,32398.333815728656,32425.86849809085
0.175,31663.05914595082,31554.026586771026,31572.368512614354,32594.13600141539,32509.492348227897,32581.898364809967
0.176,31691.591030596002,31588.672446697317,31623.318306623605,32753.225277285863,32668.58162409837,32790.95799015258
0.177,31727.25588640248,31622.299310743423,31670.192117112118,32948.00765992215,32848.06696097788,32987.77997888977
0.178,31778.20568041173,31669.173121231932,31723.17990288174,33141.77023950798,33031.6315100592,33166.24551271882
0.179,31832.212462061536,31712.989944079887,31769.034717490063,33332.47340994246,33226.41389269548,33383.46356246505
0.18,31876.02928490949,31763.93973808914,31833.23145794172,33689.404477600576,33619.03806711941,33897.44429989273
0.181,31977.928872927994,31885.20024783116,32008.498749333547,34209.50403333097,34119.761364891216,34465.47459899436
0.182,32102.246370310568,31992.194815250587,32116.51231263316,34557.25687353502,34407.34582511861,34652.09855722703
0.183,32177.652065444257,32043.144609259838,32122.626287914267,34655.157966378385,34474.65282644843,34586.83116199812
0.184,32201.088970688514,32065.56251862391,32109.379341471864,34645.979738924325,34480.771644751134,34534.82120642508
0.185,32193.95599952722,32061.486535103166,32090.018419748347,34543.999433879144,34382.87055190777,34384.91015800867
0.186,32166.443110762222,32028.878666937246,32033.97364633817,34372.67252140325,34210.52383638142,34157.49407775793
0.187,32127.721267315195,31991.1758193704,31983.02385232892,34167.69210826245,34023.89987814875,33955.573073768486
0.188,32071.67649390502,31946.34000064226,31932.074058319668,33970.87011952526,33835.23631381518,33766.90950943491
0.189,32022.764691656135,31898.44719427356,31886.219243711344,33777.107539939425,33641.473734229345,33568.04791459681
0.19,31976.909877047812,31848.516396144496,31821.0035073795,33412.0180478777,33237.631726250445,33035.710722261
0.191,31870.934305508566,31723.17990288174,31639.62224070657,32906.19573485362,32742.007443730894,32460.541801806212
0.192,31744.578816365625,31618.22332722268,31548.9316073701,32546.20525804416,32455.442786553955,32277.997055775348
0.193,31682.42006767434,31569.3115249738,31537.722652688066,32457.482392654856,32397.314012678202,32366.71992116465
0.194,31657.964166549897,31553.00759089084,31555.04558265121,32485.01707501705,32409.551649283625,32431.987316393563
0.195,31665.097137711193,31557.08357441158,31579.50148377565,32585.977577011778,32506.43293907654,32585.977577011778
0.196,31693.629022356374,31582.558471416207,31620.26131898305,32763.423307790385,32680.819260703793,32803.195626758
0.197,31730.312874043033,31625.356298383977,31670.192117112118,32954.12647822486,32856.22538538149,32996.958206343836
0.198,31779.224676291917,31670.192117112118,31717.06592760063,33142.79004255844,33036.730525311454,33174.403937122435
0.199,31825.079490900243,31711.970948199705,31764.958733969324,33339.61203129563,33235.592120149544,33385.50316856595
0.2,31871.953301388752,31761.90174632877,31828.136478540797,33724.07778131594,33651.67176473386,33922.93937615403
0.201,31974.87188528744,31886.219243711344,32014.612724614657,34198.286199776,34119.761364891216,34475.67262949888
0.202,32107.341349711493,31993.213811130772,32112.436329112417,34563.375691837726,34410.405234269965,34655.157966378385
0.203,32193.95599952722,32057.410551582427,32133.835242596302,34663.316390782,34483.83105390249,34602.1282077549
0.204,32200.069974808328,32065.56251862391,32111.41733323223,34651.07875417658,34480.771644751134,34532.781600324175
